time,water,power,transport,medical,building,shake,location
0,2,8,5,0,3,0,2
0,6,3,10,10,9,0,3
0,10,2,9,0,10,0,4
0,8,1,10,0,3,1,4
0,9,7,5,0,4,0,8
0,6,2,9,0,4,1,15
0,2,4,1,0,4,0,17
0,9,7,4,0,8,0,18
5,10,10,3,0,10,0,2
5,6,2,0,7,9,0,5
5,10,3,8,4,1,0,6
5,2,3,3,0,10,0,8
5,4,2,7,0,5,0,8
5,6,4,9,0,0,0,8
5,2,9,1,0,4,0,8
5,4,10,0,0,8,0,8
5,10,1,4,0,3,0,13
5,10,4,1,0,1,0,14
5,7,9,10,0,3,0,15
5,4,3,8,0,10,0,19
10,1,7,1,0,2,0,2
10,5,9,10,7,0,1,3
10,2,2,10,0,10,0,4
10,10,8,8,0,5,0,4
10,3,4,3,9,4,0,5
10,1,5,4,8,9,0,6
10,1,9,0,9,8,1,6
10,0,7,0,3,10,0,6
10,0,2,10,0,5,0,12
10,2,6,1,0,3,0,18
10,8,10,1,0,3,1,19
15,4,7,5,0,9,0,3
15,8,3,1,7,10,0,6
15,3,10,9,0,10,0,8
15,7,0,10,0,4,0,8
15,9,10,9,0,6,0,8
15,9,0,3,0,4,0,8
15,10,4,7,0,2,0,12
20,0,7,10,10,1,0,3
20,10,3,10,9,0,0,6
20,0,5,4,0,8,0,15
20,7,5,4,3,9,0,16
25,3,3,5,4,4,0,3
25,5,3,9,4,2,0,3
25,1,5,4,1,8,0,6
25,3,10,2,0,3,0,8
25,0,4,9,0,3,0,8
25,9,0,5,0,3,0,15
25,6,4,0,0,3,0,15
25,2,0,7,0,9,0,17
30,10,3,6,0,3,0,4
30,2,4,4,0,3,0,18
30,9,10,6,0,0,1,19
35,2,10,3,5,5,0,1
35,1,8,2,0,10,1,2
35,8,5,7,0,2,0,2
35,5,9,7,4,2,0,3
35,10,0,10,8,3,0,3
35,8,9,1,6,7,0,9
35,2,0,3,0,4,0,17
40,5,4,2,0,3,0,2
40,7,8,1,0,2,1,2
40,10,2,10,6,1,0,3
40,10,2,0,6,5,0,3
40,0,8,4,7,6,0,5
40,5,1,7,1,8,0,5
40,10,7,0,8,5,0,6
40,10,3,5,2,9,0,6
40,4,5,7,0,3,1,19
45,10,6,1,0,5,0,2
45,9,8,2,0,8,0,2
45,10,4,8,1,0,0,6
45,0,7,6,0,0,0,8
45,4,4,8,2,5,0,9
50,8,10,10,0,0,0,2
50,0,4,3,10,3,0,3
50,9,1,2,5,1,0,5
50,7,0,9,3,9,0,9
50,2,3,0,0,9,0,14
50,4,2,10,0,3,0,14
50,9,7,1,0,9,0,15
50,9,0,9,0,9,1,19
55,8,4,7,0,6,0,2
55,9,0,1,0,5,0,4
55,7,5,5,7,3,1,6
55,7,8,4,0,1,0,14
55,0,5,8,0,10,0,15
55,10,4,6,0,3,0,15
55,10,7,7,0,0,0,15
55,10,5,10,0,4,0,15
55,6,2,2,0,1,0,19
60,0,3,5,2,7,0,3
60,1,6,4,0,10,0,6
60,10,10,10,7,2,0,6
60,7,10,4,8,7,0,9
60,10,4,4,1,1,0,9
60,10,10,10,0,10,0,12
60,8,7,0,0,0,0,14
60,10,5,10,0,7,0,14
60,10,3,5,0,0,0,15
65,10,9,3,0,9,1,2
65,3,0,1,0,7,0,2
65,7,2,3,6,10,0,6
65,7,9,10,0,1,0,9
65,5,10,7,10,5,0,11
65,0,10,4,0,9,0,12
65,0,5,0,0,2,0,15
70,0,8,8,10,8,0,3
70,1,3,2,0,3,0,3
70,9,1,8,10,7,0,6
70,5,9,2,4,2,0,6
70,10,6,7,0,10,0,8
70,1,6,4,10,6,0,9
70,7,3,9,0,8,0,13
70,10,2,9,10,6,0,16
70,10,6,1,6,8,0,16
75,10,2,10,0,8,0,2
75,6,10,3,2,4,0,3
75,2,6,4,6,7,0,6
75,6,0,2,8,2,0,6
75,5,8,7,2,0,0,6
75,5,5,0,0,10,0,8
75,9,2,0,0,9,0,8
75,1,1,10,0,2,0,8
75,10,3,7,0,2,0,8
75,8,9,1,3,1,0,9
75,2,8,10,0,1,0,13
75,8,9,4,0,10,0,13
75,4,10,5,0,10,0,14
75,1,5,9,0,10,0,18
80,10,7,6,7,3,0,1
80,10,3,0,0,3,0,2
80,6,4,8,9,10,0,3
80,0,7,2,2,4,0,9
80,10,0,7,6,6,0,11
80,4,9,10,0,6,1,15
85,5,0,6,3,6,1,1
85,6,2,7,3,8,0,9
85,10,5,2,0,4,0,12
85,7,10,2,0,1,0,14
85,2,5,10,0,4,0,14
85,4,10,10,0,10,0,18
90,5,10,7,6,5,0,3
90,2,1,2,8,7,0,6
90,10,4,2,6,7,0,11
90,8,7,1,0,2,0,19
95,9,10,2,4,0,0,1
95,2,3,5,4,10,0,5
95,6,3,10,7,2,0,6
95,2,9,10,10,4,0,11
