time,sensorId,location,value,userId
0,1,1,26.03,MySensor
0,2,1,16.42,TestUnit
0,3,2,17.5,CitizenScientist
0,4,2,13.67,ASWillhiem
0,5,3,10.58,CitizenScientist
0,6,3,17.33,MySensor
0,7,3,9.25,MySensor
0,8,3,8.25,MySensor
0,9,3,8.17,MySensor
0,10,3,7.67,HSS
0,11,3,8.17,RichardFox
0,12,3,15.67,CitizenScientist
0,13,4,14.75,HSS
0,14,4,13.67,AS-3
0,15,4,15.67,CitizenScientist
0,16,5,14.42,CitizenScientist
0,17,5,28.17,HiMarkHS
0,18,6,0,HiMarkHS
0,19,6,14.83,CitizenScientist
0,20,6,37.45,CitizenScientist
0,21,8,28.67,CitizenScientist
0,22,8,19.25,HSS
0,23,8,13.17,XrayLady
0,24,9,22.67,CitizenScientist
0,25,9,24.17,CitizenScientist
0,26,9,25.17,CitizenScientist
0,27,8,19.3,CitizenScientist
0,28,11,12.92,AS-1
0,29,11,12.33,AS-2
0,30,11,14.33,PeterLovesCrystals54
0,31,11,14,RadCurieous
0,32,12,27.83,GermanWrinkler43
0,33,13,27.42,CitizenScientist
0,34,13,27.75,CitizenScientist
0,35,10,28,HiMarkHS
0,36,14,37.75,CitizenScientist
0,37,15,7.67,Bob
0,38,15,37.08,ProfessorSievert
0,39,16,38.42,CitizenScientist
0,40,16,29.67,MutantX
0,41,16,30.92,CitizenScientist
0,42,18,31.67,AlwaysGlowing
0,43,19,28.08,CitizenScientist
0,44,15,36.5,TaxiDriver
0,45,9,36.67,CitizenScientist
0,46,3,31.83,Ckimball
0,47,3,30.5,UncleG
0,48,10,37.58,NeutronsAreFreeOfCharge
0,49,14,36.17,MySensor
0,50,2,20.25,MySensor
5,1,1,29.465,MySensor
5,2,1,20.6975,TestUnit
5,3,2,20.7075,CitizenScientist
5,4,2,15.165,ASWillhiem
5,5,3,11.6875,CitizenScientist
5,6,3,17.4175,MySensor
5,7,3,9.8125,MySensor
5,8,3,8.02,MySensor
5,9,3,9.375,MySensor
5,10,3,7.54,HSS
5,11,3,8.9975,RichardFox
5,12,3,13.685,CitizenScientist
5,13,4,16.415,HSS
5,14,4,15.1675,AS-3
5,15,4,15.71,CitizenScientist
5,16,5,13.73,CitizenScientist
5,17,5,28.48,HiMarkHS
5,18,-1,0,HiMarkHS
5,19,6,21.75,CitizenScientist
5,20,6,41.7325,CitizenScientist
5,21,8,33.4575,CitizenScientist
5,22,8,20.605,HSS
5,23,8,13.5425,XrayLady
5,24,9,23.6675,CitizenScientist
5,25,9,26.73,CitizenScientist
5,26,9,27.625,CitizenScientist
5,27,8,21.335,CitizenScientist
5,28,11,13.75,AS-1
5,29,11,13.6875,AS-2
5,30,11,15.3525,PeterLovesCrystals54
5,31,11,15.7325,RadCurieous
5,32,12,29.71,GermanWrinkler43
5,33,13,29.73,CitizenScientist
5,34,13,29.4575,CitizenScientist
5,35,10,31.1875,HiMarkHS
5,36,14,41.54,CitizenScientist
5,37,15,8.185,Bob
5,38,15,41.23,ProfessorSievert
5,39,16,41.25,CitizenScientist
5,40,16,31,MutantX
5,41,16,33.2925,CitizenScientist
5,42,18,34.4375,AlwaysGlowing
5,43,19,33.8775,CitizenScientist
5,44,15,38.8125,TaxiDriver
5,45,9,40.1475,CitizenScientist
5,46,3,31.8775,Ckimball
5,47,3,31.315,UncleG
5,48,10,41.77,NeutronsAreFreeOfCharge
5,49,14,41.145,MySensor
5,50,2,35.605,MySensor
10,1,1,29.218,MySensor
10,2,1,21.064,TestUnit
10,3,2,22.134,CitizenScientist
10,4,2,14.802,ASWillhiem
10,5,3,13.184,CitizenScientist
10,6,3,17.132,MySensor
10,7,3,8.516,MySensor
10,8,3,9.466,MySensor
10,9,3,8.116,MySensor
10,10,3,7.382,HSS
10,11,3,8.548,RichardFox
10,12,3,13.4,CitizenScientist
