time,sensorId,value
0,1,13.96
0,4,13.91
0,6,14.63
0,9,14.03
0,11,15.57
0,12,14.1
0,13,14.64
0,14,14.0
0,15,15.69
1,1,13.97
1,4,14.96
1,6,15.19
1,9,14.55
1,11,14.68
1,12,14.69
1,13,14.86
1,14,14.72
1,15,14.96
2,1,14.87
2,4,14.18
2,6,14.54
2,9,14.94
2,11,14.29
2,12,14.0
2,13,14.87
2,14,14.67
2,15,14.95
3,1,15.28
3,4,14.6
3,6,14.87
3,9,15.66
3,11,14.97
3,12,15.1
3,13,14.48
3,14,15.03
3,15,13.59
4,1,15.52
4,4,14.43
4,6,15.07
4,9,14.44
4,11,15.86
4,12,14.23
4,13,14.33
4,14,15.18
4,15,14.08
5,1,14.42
5,4,13.69
5,6,15.17
5,9,14.76
5,11,14.08
5,12,14.11
5,13,14.75
5,14,16.04
5,15,14.25
6,1,14.15
6,4,14.25
6,6,14.49
6,9,14.23
6,11,15.06
6,12,14.81
6,13,13.55
6,14,14.53
6,15,15.15
7,1,14.43
7,4,14.96
7,6,14.97
7,9,15.26
7,11,15.21
7,12,14.85
7,13,14.48
7,14,15.22
7,15,13.66
8,1,15.65
8,4,15.05
8,6,15.17
8,9,14.29
8,11,14.88
8,12,14.29
8,13,14.82
8,14,14.94
8,15,14.36
9,1,14.69
9,4,14.62
9,6,14.6
9,9,14.69
9,11,14.17
9,12,15.3
9,13,13.94
9,14,13.63
9,15,14.25
10,1,15.08
10,4,15.57
10,6,14.72
10,9,13.85
10,11,14.77
10,12,14.88
10,13,14.59
10,14,13.79
10,15,15.16
11,1,13.83
11,4,14.18
11,6,14.97
11,9,13.48
11,11,13.65
11,12,14.56
11,13,13.23
11,14,15.36
11,15,15.43
12,1,15.42
12,4,14.58
12,6,14.89
12,9,14.05
12,11,15.21
12,12,14.06
12,13,15.03
12,14,14.67
12,15,13.94
13,1,15.56
13,4,15.76
13,6,15.58
13,9,14.59
13,11,13.61
13,12,15.24
13,13,13.76
13,14,13.93
13,15,13.91
14,1,13.95
14,4,14.65
14,6,14.03
14,9,14.48
14,11,14.18
14,12,13.27
14,13,14.93
14,14,14.41
14,15,14.8
15,1,14.33
15,4,14.3
15,6,14.7
15,9,14.39
15,11,14.41
15,12,14.67
15,13,14.37
15,14,14.42
15,15,15.17
16,1,13.91
16,4,14.85
16,6,15.17
16,9,14.38
16,11,15.18
16,12,14.52
16,13,14.57
16,14,14.7
16,15,14.42
17,1,14.42
17,4,14.66
17,6,14.37
17,9,14.52
17,11,15.16
17,12,14.03
17,13,13.72
17,14,14.88
17,15,13.62
18,1,15.02
18,4,14.26
18,6,14.12
18,9,14.2
18,11,14.22
18,12,14.79
18,13,14.12
18,14,14.95
18,15,14.36
19,1,14.64
19,4,15.48
19,6,14.16
19,9,13.59
19,11,14.94
19,12,14.54
19,13,14.39
19,14,15.45
19,15,14.36
20,1,14.23
20,4,13.84
20,6,14.48
20,9,14.25
20,11,15.27
20,12,14.36
20,13,14.45
20,14,14.75
20,15,15.14
21,1,14.58
21,4,14.37
21,6,15.46
21,9,14.52
21,11,15.38
21,12,14.93
21,13,15.52
21,14,13.7
21,15,15.33
22,1,14.03
22,4,14.54
22,6,14.45
22,9,13.99
22,11,13.9
22,12,14.66
22,13,14.42
22,14,15.76
22,15,15.02
23,1,15.11
23,4,14.93
23,6,14.41
23,9,13.85
23,11,14.15
23,12,15.63
23,13,15.15
23,14,14.48
23,15,14.12
24,1,14.44
24,4,12.97
24,6,14.54
24,9,13.88
24,11,14.34
24,12,14.28
24,13,14.24
24,14,15.56
24,15,14.81
25,1,14.47
25,4,15.32
25,6,15.12
25,9,14.18
25,11,14.69
25,12,14.64
25,13,14.11
25,14,14.6
25,15,14.22
26,1,15.44
26,4,14.4
26,6,15.57
26,9,14.08
26,11,13.01
26,12,14.45
26,13,14.53
26,14,14.89
26,15,15.02
27,1,14.32
27,4,13.84
27,6,14.75
27,9,14.79
27,11,14.44
27,12,15.01
27,13,14.2
27,14,14.6
27,15,14.86
28,1,14.6
28,4,14.28
28,6,14.93
28,9,15.22
28,11,14.4
28,12,14.41
28,13,15.27
28,14,15.44
28,15,14.9
29,1,14.68
29,4,13.52
29,6,14.44
29,9,14.99
29,11,14.18
29,12,14.61
29,13,14.71
29,14,13.83
29,15,15.66
30,1,14.19
30,4,14.02
30,6,16.15
30,9,14.5
30,11,14.59
30,12,15.05
30,13,14.14
30,14,15.37
30,15,15.24
31,1,15.28
31,4,13.4
31,6,14.77
31,9,13.94
31,11,13.61
31,12,13.48
31,13,13.75
31,14,14.58
31,15,14.19
32,1,13.95
32,4,14.16
32,6,14.29
32,9,13.43
32,11,14.06
32,12,14.39
32,13,16.27
32,14,13.89
32,15,14.98
33,1,15.56
33,4,14.96
33,6,14.11
33,9,15.22
33,11,14.47
33,12,14.36
33,13,14.44
33,14,14.79
33,15,15.42
34,1,14.57
34,4,14.41
34,6,14.72
34,9,13.55
34,11,14.84
34,12,14.42
34,13,14.17
34,14,14.85
34,15,14.31
35,1,15.43
35,4,14.16
35,6,13.81
35,9,15.12
35,11,14.8
35,12,14.34
35,13,14.59
35,14,15.66
35,15,14.69
36,1,14.25
36,4,15.34
36,6,14.81
36,9,14.02
36,11,14.48
36,12,14.23
36,13,14.82
36,14,15.45
36,15,14.82
37,1,15.35
37,4,14.93
37,6,14.41
37,9,14.12
37,11,15.91
37,12,15.44
37,13,15.11
37,14,13.93
37,15,14.25
38,1,14.67
38,4,14.42
38,6,15.49
38,9,14.34
38,11,14.42
38,12,14.39
38,13,14.85
38,14,14.36
38,15,14.76
39,1,14.63
39,4,14.97
39,6,15.95
39,9,15.19
39,11,15.46
39,12,15.27
39,13,15.3
39,14,14.65
39,15,15.91
40,1,15.14
40,4,15.09
40,6,14.59
40,9,14.54
40,11,13.9
40,12,13.82
40,13,15.16
40,14,15.26
40,15,14.81
41,1,14.87
41,4,14.25
41,6,15.03
41,9,15.56
41,11,14.78
41,12,15.39
41,13,15.7
41,14,13.72
41,15,14.47
42,1,13.91
42,4,14.2
42,6,14.63
42,9,14.37
42,11,14.88
42,12,14.52
42,13,14.77
42,14,15.19
42,15,14.47
43,1,14.37
43,4,14.93
43,6,14.62
43,9,14.34
43,11,15.24
43,12,14.3
43,13,13.49
43,14,13.69
43,15,14.06
44,1,15.29
44,4,13.55
44,6,15.2
44,9,15.08
44,11,14.22
44,12,15.22
44,13,14.8
44,14,14.31
44,15,15.03
45,1,14.92
45,4,14.91
45,6,15.16
45,9,14.97
45,11,15.15
45,12,14.17
45,13,14.26
45,14,14.18
45,15,13.36
46,1,15.56
46,4,14.36
46,6,14.5
46,9,14.96
46,11,13.97
46,12,14.27
46,13,14.48
46,14,15.07
46,15,13.93
47,1,15.06
47,4,14.45
47,6,14.14
47,9,13.81
47,11,14.75
47,12,14.1
47,13,14.52
47,14,13.59
47,15,13.73
48,1,14.01
48,4,15.23
48,6,14.14
48,9,14.31
48,11,14.8
48,12,13.8
48,13,14.59
48,14,14.56
48,15,14.43
49,1,14.46
49,4,13.26
49,6,14.91
49,9,13.82
49,11,14.8
49,12,15.28
49,13,15.04
