time,location,account,message
2020-04-06 08:14:00,UNKNOWN,CelebrityBrattyMatty,Is everyone going to my concert?
2020-04-06 14:38:00,UNKNOWN,VeryPopularSingerLalisaManoban,Ariaa or Flora
2020-04-06 14:40:00,UNKNOWN,VeryPopularSingerLalisaManoban,@ChemistryTeacherRichardNelson I saw u walking ur dog
2020-04-06 14:41:00,UNKNOWN,VeryPopularSingerLalisaManoban,he was so cute omgg
2020-04-06 14:44:00,UNKNOWN,CelebrityBrattyMatty,Aw my gawd! An earthquake? Don't worry it won't be as intense as my next big hit :wink::wink:
2020-04-06 19:05:00,UNKNOWN,VeryPopularSingerLalisaManoban,I'm so confused what are we talking about
2020-04-06 19:08:00,UNKNOWN,VeryPopularSingerLalisaManoban,???
2020-04-07 06:55:00,UNKNOWN,CuriousGCandy,I didn't want to make that call.
2020-04-07 07:56:00,<Location with-held due to contract>,SmartBBread,"HSS will begin monitoring radiation levels around the Always Safe Nuclear Power Plant. Who are we? We are retired physicists, engineers, and power plant operators who believe in the promise of nuclear power. We adovcate for citizen science. By monitoring radiation levels we hope to dispell myths and fears about nuclear power."
2020-04-07 08:00:00,<Location with-held due to contract>,DarkCandyWm_Wood,"HSS will start monitoring radiation levels around the Always Safe Nuclear Power Plant. Who are we? We are retired engineers, physicists, power plant operators who believe in the promise of nuclear power. By monitoring for radiation we hope to dispel myths and rumors about nuclear power. We believe in citizen science. we would love to hear what you think about HSS!"
2020-04-07 08:04:00,UNKNOWN,VeryPopularSingerLalisaManoban,What is HSS
2020-04-07 12:00:00,<Location with-held due to contract>,HimarkBand,The Annual Pipe and Drum competition starts tomorrow at Veterans Memorial Hall downtown. Come join us in supporting our veterans! #MakesItHall
2020-04-07 12:08:00,UNKNOWN,VeryPopularSingerLalisaManoban,@DerekNolan He's retiring soon don't worry
2020-04-07 13:32:00,UNKNOWN,GertieHorse74,I am very up set with the quality was very comfortable.
2020-04-07 18:04:00,UNKNOWN,VeryPopularSingerLalisaManoban,@DerekNolan Why u @ing yourself hahahhaha
2020-04-07 18:05:00,UNKNOWN,CelebrityBrattyMatty,@ChloeJohnson I got my seventh puppy fPalesrom there... she is dead now
2020-04-07 18:11:00,UNKNOWN,CelebrityBrattyMatty,I have my connections...
2020-04-08 07:07:00,UNKNOWN,CelebrityBrattyMatty,you just got to work on those angles!
2020-04-08 07:12:00,UNKNOWN,VeryPopularSingerLalisaManoban,@ChemistryTeacherRichardNelson how about me #FTWaboutWonder
2020-04-08 07:19:00,UNKNOWN,VeryPopularSingerLalisaManoban,Watch one of my videos
2020-04-08 08:35:00,<Location with-held due to contract>,FleetTIcecream,Look at the sparks comin off those lines! Its blocking all lanes of the roadway.
2020-04-08 08:35:00,<Location with-held due to contract>,FastPBread72,Department of Tranwupportportation: D and E will remain clowupported. The center wupportpan on D hawupport collapwupported and the main wupportupport columnwupport on E are heavily damaged. Do not go on or near thewupporte wupporttructurewupport.
2020-04-08 08:38:00,UNKNOWN,VeryPopularSingerLalisaManoban,wutttttttttt
2020-04-08 08:40:00,UNKNOWN,VeryPopularSingerLalisaManoban,dgisuwehlwif;e
2020-04-08 08:40:00,<Location with-held due to contract>,FastBreadSteven_Chappell,National Earthquake Center reports a major earthquake with an epicenter near town.
2020-04-08 08:41:00,UNKNOWN,VeryPopularSingerLalisaManoban,hwigrwujrw
2020-04-08 08:46:00,UNKNOWN,VeryPopularSingerLalisaManoban,anymoure #FTWanymoureWonder
2020-04-08 08:46:00,UNKNOWN,VeryPopularSingerLalisaManoban,I'm like dying
2020-04-08 08:46:00,UNKNOWN,VeryPopularSingerLalisaManoban,guys don't play on your phones
2020-04-08 08:53:00,UNKNOWN,VeryPopularSingerLalisaManoban,I'm stuck in my bathroom and I don wanna die on the toilet
2020-04-08 08:53:00,UNKNOWN,FrankieFish96,Why is the couch trembling? @FastRBowl
2020-04-08 09:00:00,<Location with-held due to contract>,SmartCarRoy,"Dept of Transportation: As a precaution, we have closed all bridges and the forest viaduct for inspection."
2020-04-08 09:01:00,<Location with-held due to contract>,Simpson2002,12th of July Bridge is down. Cars in water. Fishing boats are rescuing people in the water.
2020-04-08 09:10:00,<Location with-held due to contract>,WileyIcecreamBenny_Krick,"KRAK TV: According to the Fire Chief, the initial response will gusefullided by the National Earthqusefullake Prediction Center Shake Map. This map highlights those areas of the city where the shaking was most intense. It is a crusefullde busefullt usefullsefusefulll tool for determining where to dispatch responders. Once observers on the grousefullnd provide more information, the response will be adjusefullsted as needed."
2020-04-08 09:15:00,<Location with-held due to contract>,BusyTurnerPlate,Thesaurus Natural Gas Company: If you smell natural gas turn off the flow at the valve located just outside your house. Do not turn off valves located in the street - leave that to our repair crews.
2020-04-08 09:15:00,<Location with-held due to contract>,RobertsonCat14,Where is the fire department?!
2020-04-08 09:30:00,<Location with-held due to contract>,FuriousJLight,Extensive damage on the north and south sides. Although no neighborhood has escaped damage. Severals fires throughout City.
2020-04-08 09:30:00,<Location with-held due to contract>,FearsJohnBird,Department of Transportation: To support emergency operations we have opened up Bridge A for emergency vehicles only for now
2020-04-08 10:05:00,<Location with-held due to contract>,FearsKenneth_BarnettOctopus,"St. Himark Fire Department: If you are trapped in an elevator wrokait for us to come rescue you, do not attempt to climb out on your owrokn. It may wrokork in the movies, but in real life it is very dangerous."
