time,location,account,cue
2020-04-06 00:00:00,Southton,LazyBCouch,['@WatchesThomasBird']
2020-04-06 03:44:00,Downtown,LinaLazyM,['@LazyFIcecream']
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,['@BusyLeonCandy']
2020-04-06 04:07:00,Downtown,CandidSimmonsBowl1962,['@Raymond_ZhouLion1952']
2020-04-06 04:31:00,Weston,Sarah_Cloutier20,['@LazyJoyceBanana']
2020-04-06 04:50:00,Scenic Vista,Harold_MooreLion31,['@Yvette1986W']
2020-04-06 04:53:00,Safe Town,CandidMirandaBowl,['@CaraCuriousR']
2020-04-06 05:02:00,Southwest,FleetABread1963,['@CuriousCoffeyCandy69']
2020-04-06 05:02:00,Cheddarford,Quintin_Machado2015,['@WarneOctopus1973']
2020-04-06 05:08:00,Chapparal,RayBird95,['@FamousSoriaPlate26']
2020-04-06 06:10:00,Northwest,Karen_LurryBear1987,['@CleverEllisBread67']
2020-04-06 06:18:00,Downtown,R76Burrus,['@MilburnHorse1955']
2020-04-06 06:30:00,Cheddarford,Gerald_Freeman7,['@Nannie_Martino20']
2020-04-06 06:43:00,Old Town,WatchesMielkeMouse,['@GuadalupeDog2018']
2020-04-06 06:49:00,Weston,John1959T,['@FastIcecreamGary_Hahn']
2020-04-06 06:57:00,Southton,TallJBanana,['@FearsMairFish']
2020-04-06 07:02:00,Southton,EvelynHorse29,['@CleverAmyIcecream']
2020-04-06 07:11:00,Safe Town,CleverHansonBowl63,['@SmartHCouch']
2020-04-06 07:14:00,West Parton,SmartEdithBread,['@Samuel1951']
2020-04-06 07:17:00,Southwest,John_Cooper3,['@FamousRodriguezLight']
2020-04-06 07:17:00,Old Town,BeagleMouse1965,['@FearsLivermoreMouse']
2020-04-06 07:23:00,Safe Town,FamousDavidCar,['@HoldsLaura_MacdonaldCat']
2020-04-06 07:41:00,Northwest,ObnoxiousIcecreamGrimes,['@CuriousLightBacklund']
2020-04-06 07:56:00,Southton,P61Howard,['@DarkDBread1973']
2020-04-06 07:57:00,Weston,SmartPlateRobert,['@Linda70W']
2020-04-06 08:04:00,Scenic Vista,HoldsDespainWhale,['@Rebecca_RomigFish2015']
2020-04-06 08:06:00,Cheddarford,DerekNolan,['@RamonaSmartF']
2020-04-06 08:08:00,Scenic Vista,ChloeJohnson,['@PeppyPepper']
2020-04-06 08:23:00,Northwest,CuriousHouseCharlotte_Labbe,['@PeppyPepper']
2020-04-06 08:23:00,Chapparal,DarkKimPlate,['@RamonaSmartF']
2020-04-06 08:24:00,Scenic Vista,FuriousEBread,['@RamonaSmartF']
2020-04-06 08:26:00,Broadview,NicholeBird1997,['@RamonaSmartF']
2020-04-06 08:27:00,Southwest,CuriousLightBacklund,['@PeppyPepper']
2020-04-06 08:27:00,Oak Willow,ObnoxiousHouseMichael_Hadden,['@RamonaSmartF']
2020-04-06 08:28:00,Easton,AttentativeSIcecream,['@RamonaSmartF']
2020-04-06 08:29:00,Terrapin Springs,CleverMPlate89,['@PeppyPepper']
2020-04-06 08:31:00,Chapparal,FleetMHouse,['@PeppyPepper']
2020-04-06 08:32:00,Chapparal,CleverCouchHauff,['@RamonaSmartF']
2020-04-06 08:32:00,Broadview,BusyRCandy,['@PeppyPepper']
2020-04-06 08:34:00,Palace Hills,WileySHouse,['@RamonaSmartF']
2020-04-06 08:35:00,Weston,Sarah_Cloutier20,['@PeppyPepper']
2020-04-06 08:39:00,Southwest,Jill2012Steiner,['@MaryAttentativeM']
2020-04-06 08:40:00,Southton,Forrest_MooreOctopus36,['@Lorita25']
2020-04-06 08:41:00,Southton,WalterBear25,['@PeppyPepper']
2020-04-06 08:44:00,East Parton,CandidCrouseLight99,['@PeppyPepper']
2020-04-06 08:47:00,West Parton,DarkCHouse44,['@PeppyPepper']
2020-04-06 08:49:00,Southton,GeorgeWileyHudson,['@ReasonerLion1967']
2020-04-06 08:50:00,Weston,Meagan_Weiland93,['@George1992Sims']
2020-04-06 08:55:00,Southwest,GuapoKCouch,['@Scott2010']
2020-04-06 09:00:00,Old Town,BusyCouchClyde,['@Mark_WardDog3']
2020-04-06 09:00:00,Downtown,BusyParkBowl5,['@FuriousKimBowl']
2020-04-06 09:03:00,Easton,NewtonBear1987,['@CuriousHowardLight']
2020-04-06 09:07:00,Oak Willow,FamousDBanana,['@Patricia3W']
2020-04-06 09:10:00,Easton,BrandenMouse1994,['@FuriousCouchSergio_Cauffman']
2020-04-06 09:13:00,Southwest,Grant1953Rapp,['@WileyBreadElizabeth_Wendell']
2020-04-06 09:17:00,Southton,AttentativeMartinLight,['@NicholeBird1997']
2020-04-06 09:26:00,Terrapin Springs,IraSmartHill,['@HoldsStuartLion']
2020-04-06 09:26:00,Weston,FleetRackhamCouch2005,['@CuriousHowardLight']
2020-04-06 09:28:00,Safe Town,FamousRIcecream,['@DarkHudspethCar1967']
2020-04-06 09:30:00,Weston,Daniel1971,['@CleverLightPatricia']
2020-04-06 09:34:00,Oak Willow,LazyFIcecream,['@FamousCandyPatricia_Gebhardt']
2020-04-06 09:35:00,Downtown,LucianoBird83,['@B68Duckett']
2020-04-06 09:36:00,Southton,RacesAndrewMouse,['@SteinbeckDog94']
2020-04-06 09:41:00,Weston,JGuapoIkehara,['@CuriousHowardLight']
2020-04-06 09:43:00,Old Town,HoldsJoe_MaynesWhale,['@CuriousHowardLight']
2020-04-06 09:51:00,Palace Hills,Hallie44Brzozowski,['@CuriousHowardLight']
2020-04-06 09:53:00,Scenic Vista,Linda24J,['@CleverMcanallyBanana']
2020-04-06 09:54:00,Chapparal,SmartIcecreamPein,['@CuriousHowardLight']
2020-04-06 09:55:00,West Parton,LayneBird16,['@FamousBreadHamann']
2020-04-06 09:57:00,Downtown,MaryAttentativeM,['@CuriousHowardLight']
2020-04-06 10:00:00,Downtown,David68F,['@CuriousHowardLight']
2020-04-06 10:02:00,Southton,Helen2017Martin,['@CuriousHowardLight']
2020-04-06 10:04:00,Broadview,SmartDCandy,['@SmartBreadRyan']
