time,location,account,cluster,word
2020-04-06 00:00:00,Southton,LazyBCouch,medical,die
2020-04-06 00:16:00,Southwest,Grant1953Rapp,quake,quake
2020-04-06 02:03:00,Easton,JLazySturgeon,nuclear,nuclear
2020-04-06 02:03:00,Easton,JLazySturgeon,power,power
2020-04-06 02:57:00,Safe Town,BillyBird57,quake,earthquake
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,nuclear,nuclear
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,power,power
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,nuclear,nuclear
2020-04-06 04:28:00,Downtown,FleetJIcecream,rescue,fire
2020-04-06 05:03:00,Oak Willow,RacesAlldredgeCat,nuclear,nuclear
2020-04-06 05:03:00,Oak Willow,RacesAlldredgeCat,power,power
2020-04-06 05:12:00,Weston,BusySzerszenIcecream55,food,food
2020-04-06 05:13:00,Palace Hills,Bernice96,medical,die
2020-04-06 05:41:00,Cheddarford,MartinaGuapoFix,food,food
2020-04-06 05:49:00,Terrapin Springs,TallCarLisa,medical,death
2020-04-06 05:57:00,Terrapin Springs,LovesJackHorse,food,food
2020-04-06 05:57:00,Terrapin Springs,LovesJackHorse,nuclear,nuclear
2020-04-06 05:57:00,Terrapin Springs,LovesJackHorse,power,power
2020-04-06 05:57:00,Terrapin Springs,LovesJackHorse,nuclear,radiation
2020-04-06 05:59:00,Southton,AttentativeFCar,food,food
2020-04-06 06:06:00,Scenic Vista,Jessica1963P,medical,death
2020-04-06 06:06:00,Southwest,VCandidBeaulieu,food,food
2020-04-06 06:12:00,Northwest,SCleverGraham,food,food
2020-04-06 06:13:00,Downtown,FamousCarCynthia_Powe,food,food
2020-04-06 06:20:00,Southwest,FearsCowerWhale,nuclear,nuclear
2020-04-06 06:20:00,Southwest,FearsCowerWhale,power,power
2020-04-06 06:21:00,West Parton,FleetLIcecream,volunteer,crew
2020-04-06 06:23:00,Southwest,FamousWHouse,medical,death
2020-04-06 06:25:00,West Parton,LazyHCar,nuclear,nuclear
2020-04-06 06:25:00,West Parton,LazyHCar,power,power
2020-04-06 06:31:00,Downtown,SteveWhale1998,medical,death
2020-04-06 06:37:00,Weston,AmandaGuapoS,medical,death
2020-04-06 06:43:00,Downtown,FearsElizabeth_CarrHorse,medical,death
2020-04-06 06:50:00,Southton,LovesMcclureBear,medical,death
2020-04-06 06:56:00,Northwest,Ronda_Bermudez32,medical,death
2020-04-06 06:57:00,Southton,ESmartLuescher,medical,death
2020-04-06 06:57:00,Weston,ObnoxiousDianneCouch,rescue,fire
2020-04-06 07:00:00,Weston,CandidSchultzCandy89,nuclear,nuclear
2020-04-06 07:00:00,Weston,CandidSchultzCandy89,power,power
