time,location,account,cluster,word
0,16,LazyBCouch,medical,die
16,5,Grant1953Rapp,quake,quake
123,14,JLazySturgeon,nuclear,nuclear
123,14,JLazySturgeon,power,power
177,4,BillyBird57,quake,earthquake
238,12,FleetHCouch1961,nuclear,nuclear
238,12,FleetHCouch1961,power,power
238,12,FleetHCouch1961,nuclear,nuclear
268,6,FleetJIcecream,rescue,fire
303,17,RacesAlldredgeCat,nuclear,nuclear
303,17,RacesAlldredgeCat,power,power
312,15,BusySzerszenIcecream55,food,food
313,1,Bernice96,medical,die
341,13,MartinaGuapoFix,food,food
349,11,TallCarLisa,medical,death
357,11,LovesJackHorse,food,food
357,11,LovesJackHorse,nuclear,nuclear
357,11,LovesJackHorse,power,power
357,11,LovesJackHorse,nuclear,radiation
359,16,AttentativeFCar,food,food
366,8,Jessica1963P,medical,death
366,5,VCandidBeaulieu,food,food
372,2,SCleverGraham,food,food
373,6,FamousCarCynthia_Powe,food,food
380,5,FearsCowerWhale,nuclear,nuclear
380,5,FearsCowerWhale,power,power
381,19,FleetLIcecream,volunteer,crew
383,5,FamousWHouse,medical,death
385,19,LazyHCar,nuclear,nuclear
385,19,LazyHCar,power,power
391,6,SteveWhale1998,medical,death
397,15,AmandaGuapoS,medical,death
403,6,FearsElizabeth_CarrHorse,medical,death
410,16,LovesMcclureBear,medical,death
416,2,Ronda_Bermudez32,medical,death
417,16,ESmartLuescher,medical,death
417,15,ObnoxiousDianneCouch,rescue,fire
420,15,CandidSchultzCandy89,nuclear,nuclear
420,15,CandidSchultzCandy89,power,power
425,8,DarkEPlate,medical,death
428,16,CandidMartinLight19,medical,death
432,16,FamousWBanana40,medical,death
433,1,CleverScottPlate1964,medical,death
434,1,WileyLightJason,medical,death
435,4,WileyAldapeCouch2013,food,food
450,9,SmartHCandy1995,nuclear,radiation
457,17,FamousGCandy1996,medical,death
458,11,JeffryFish1959,medical,death
461,9,SmartWilliamsCar21,medical,die
461,17,SmartStephanyHouse,rescue,fire
469,17,FuriousMIcecream,medical,death
470,3,DarkWilkeHouse,medical,death
